Using gpu device 0: GRID K520 (CNMeM is disabled)
/home/ubuntu/anaconda2/lib/python2.7/site-packages/Theano-0.8.0.dev0-py2.7.egg/theano/tensor/signal/downsample.py:5: UserWarning: downsample module has been moved to the pool module.
  warnings.warn("downsample module has been moved to the pool module.")
Couldn't import dot_parser, loading of dot files will not be possible.
left_eye_center_x            7039
left_eye_center_y            7039
right_eye_center_x           7036
right_eye_center_y           7036
left_eye_inner_corner_x      2271
left_eye_inner_corner_y      2271
left_eye_outer_corner_x      2267
left_eye_outer_corner_y      2267
right_eye_inner_corner_x     2268
right_eye_inner_corner_y     2268
right_eye_outer_corner_x     2268
right_eye_outer_corner_y     2268
left_eyebrow_inner_end_x     2270
left_eyebrow_inner_end_y     2270
left_eyebrow_outer_end_x     2225
left_eyebrow_outer_end_y     2225
right_eyebrow_inner_end_x    2270
right_eyebrow_inner_end_y    2270
right_eyebrow_outer_end_x    2236
right_eyebrow_outer_end_y    2236
nose_tip_x                   7049
nose_tip_y                   7049
mouth_left_corner_x          2269
mouth_left_corner_y          2269
mouth_right_corner_x         2270
mouth_right_corner_y         2270
mouth_center_top_lip_x       2275
mouth_center_top_lip_y       2275
mouth_center_bottom_lip_x    7016
mouth_center_bottom_lip_y    7016
Image                        7049
dtype: int64
X.shape == (2140, 9216); X.min == 0.000; X.max == 1.000
y.shape == (2140, 30); y.min == -0.920; y.max == 0.996
... building the model
78) precision=0.0000, Traning cost=0.0042, DE cost: 0.0080
79) precision=0.0000, Traning cost=0.0050, DE cost: 0.0082
80) precision=0.0000, Traning cost=0.0045, DE cost: 0.0081
81) precision=0.0000, Traning cost=0.0039, DE cost: 0.0081
82) precision=0.0000, Traning cost=0.0051, DE cost: 0.0081
83) precision=0.0000, Traning cost=0.0030, DE cost: 0.0079
84) precision=0.0000, Traning cost=0.0032, DE cost: 0.0077
85) precision=0.0000, Traning cost=0.0031, DE cost: 0.0079
86) precision=0.0000, Traning cost=0.0043, DE cost: 0.0079
87) precision=0.0000, Traning cost=0.0034, DE cost: 0.0082
88) precision=0.0000, Traning cost=0.0041, DE cost: 0.0076
89) precision=0.0000, Traning cost=0.0032, DE cost: 0.0081
90) precision=0.0000, Traning cost=0.0026, DE cost: 0.0080
91) precision=0.0000, Traning cost=0.0046, DE cost: 0.0078
92) precision=0.0000, Traning cost=0.0032, DE cost: 0.0080
93) precision=0.0000, Traning cost=0.0099, DE cost: 0.0078
94) precision=0.0000, Traning cost=0.0079, DE cost: 0.0079
95) precision=0.0000, Traning cost=0.0042, DE cost: 0.0079
96) precision=0.0000, Traning cost=0.0051, DE cost: 0.0076
97) precision=0.0000, Traning cost=0.0045, DE cost: 0.0077
98) precision=0.0000, Traning cost=0.0083, DE cost: 0.0077
99) precision=0.0000, Traning cost=0.0045, DE cost: 0.0077
100) precision=0.0000, Traning cost=0.0058, DE cost: 0.0075
101) precision=0.0000, Traning cost=0.0048, DE cost: 0.0076
102) precision=0.0000, Traning cost=0.0026, DE cost: 0.0075
103) precision=0.0000, Traning cost=0.0031, DE cost: 0.0077
104) precision=0.0000, Traning cost=0.0037, DE cost: 0.0078
105) precision=0.0000, Traning cost=0.0039, DE cost: 0.0074
106) precision=0.0000, Traning cost=0.0043, DE cost: 0.0076
107) precision=0.0000, Traning cost=0.0026, DE cost: 0.0075
108) precision=0.0000, Traning cost=0.0037, DE cost: 0.0077
109) precision=0.0000, Traning cost=0.0044, DE cost: 0.0075
110) precision=0.0000, Traning cost=0.0040, DE cost: 0.0076
111) precision=0.0000, Traning cost=0.0047, DE cost: 0.0079
112) precision=0.0000, Traning cost=0.0039, DE cost: 0.0074
113) precision=0.0000, Traning cost=0.0025, DE cost: 0.0078
114) precision=0.0000, Traning cost=0.0117, DE cost: 0.0076
115) precision=0.0000, Traning cost=0.0052, DE cost: 0.0076
116) precision=0.0000, Traning cost=0.0062, DE cost: 0.0076
117) precision=0.0000, Traning cost=0.0041, DE cost: 0.0074
118) precision=0.0000, Traning cost=0.0038, DE cost: 0.0074
119) precision=0.0000, Traning cost=0.0057, DE cost: 0.0072
120) precision=0.0000, Traning cost=0.0034, DE cost: 0.0075
121) precision=0.0000, Traning cost=0.0041, DE cost: 0.0075
122) precision=0.0000, Traning cost=0.0024, DE cost: 0.0076
123) precision=0.0000, Traning cost=0.0034, DE cost: 0.0076
124) precision=0.0000, Traning cost=0.0024, DE cost: 0.0076
125) precision=0.0000, Traning cost=0.0045, DE cost: 0.0076
126) precision=0.0000, Traning cost=0.0034, DE cost: 0.0079
127) precision=0.0000, Traning cost=0.0028, DE cost: 0.0075
128) precision=0.0000, Traning cost=0.0028, DE cost: 0.0075
129) precision=0.0000, Traning cost=0.0042, DE cost: 0.0077
130) precision=0.0000, Traning cost=0.0027, DE cost: 0.0073
131) precision=0.0000, Traning cost=0.0045, DE cost: 0.0077
132) precision=0.0000, Traning cost=0.0030, DE cost: 0.0073
133) precision=0.0000, Traning cost=0.0046, DE cost: 0.0072
134) precision=0.0000, Traning cost=0.0025, DE cost: 0.0075
135) precision=0.0000, Traning cost=0.0036, DE cost: 0.0073
136) precision=0.0000, Traning cost=0.0038, DE cost: 0.0073
137) precision=0.0000, Traning cost=0.0032, DE cost: 0.0073
138) precision=0.0000, Traning cost=0.0042, DE cost: 0.0073
139) precision=0.0000, Traning cost=0.0053, DE cost: 0.0076
140) precision=0.0000, Traning cost=0.0021, DE cost: 0.0075
141) precision=0.0000, Traning cost=0.0032, DE cost: 0.0075
142) precision=0.0000, Traning cost=0.0039, DE cost: 0.0073
143) precision=0.0000, Traning cost=0.0053, DE cost: 0.0074
144) precision=0.0000, Traning cost=0.0031, DE cost: 0.0071
145) precision=0.0000, Traning cost=0.0037, DE cost: 0.0072
146) precision=0.0000, Traning cost=0.0042, DE cost: 0.0071
147) precision=0.0000, Traning cost=0.0023, DE cost: 0.0072
148) precision=0.0000, Traning cost=0.0036, DE cost: 0.0073
149) precision=0.0000, Traning cost=0.0025, DE cost: 0.0072
150) precision=0.0000, Traning cost=0.0036, DE cost: 0.0072
151) precision=0.0000, Traning cost=0.0038, DE cost: 0.0071
152) precision=0.0000, Traning cost=0.0036, DE cost: 0.0070
153) precision=0.0000, Traning cost=0.0023, DE cost: 0.0070
154) precision=0.0000, Traning cost=0.0033, DE cost: 0.0072
155) precision=0.0000, Traning cost=0.0034, DE cost: 0.0071
156) precision=0.0000, Traning cost=0.0058, DE cost: 0.0074
157) precision=0.0000, Traning cost=0.0032, DE cost: 0.0071
158) precision=0.0000, Traning cost=0.0027, DE cost: 0.0073
159) precision=0.0000, Traning cost=0.0030, DE cost: 0.0069
160) precision=0.0000, Traning cost=0.0049, DE cost: 0.0073
161) precision=0.0000, Traning cost=0.0032, DE cost: 0.0071
162) precision=0.0000, Traning cost=0.0050, DE cost: 0.0074
163) precision=0.0000, Traning cost=0.0035, DE cost: 0.0074
164) precision=0.0000, Traning cost=0.0032, DE cost: 0.0073
165) precision=0.0000, Traning cost=0.0038, DE cost: 0.0069
166) precision=0.0000, Traning cost=0.0034, DE cost: 0.0072
167) precision=0.0000, Traning cost=0.0023, DE cost: 0.0070
168) precision=0.0000, Traning cost=0.0036, DE cost: 0.0070
169) precision=0.0000, Traning cost=0.0058, DE cost: 0.0072
170) precision=0.0000, Traning cost=0.0037, DE cost: 0.0068
171) precision=0.0000, Traning cost=0.0041, DE cost: 0.0070
172) precision=0.0000, Traning cost=0.0032, DE cost: 0.0071
173) precision=0.0000, Traning cost=0.0031, DE cost: 0.0073
174) precision=0.0000, Traning cost=0.0025, DE cost: 0.0071
175) precision=0.0000, Traning cost=0.0029, DE cost: 0.0071
176) precision=0.0000, Traning cost=0.0032, DE cost: 0.0068
